,城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
28,沈阳,https://sy.lianjia.com/ershoufang/102106245620.html,5室2厅1厨3卫,低楼层 (共33层),113㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-12-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,
29,沈阳,https://sy.lianjia.com/ershoufang/102105372210.html,5室2厅1厨3卫,低楼层 (共3层),311.48㎡,,暂无数据,,南 北,钢混结构,精装,,集中供暖,,2022-03-03,商品房,2018-12-10,别墅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,联排
30,沈阳,https://sy.lianjia.com/ershoufang/102106060598.html,4室2厅1厨2卫,高楼层 (共17层),139.65㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,有,2022-09-29,商品房,2019-10-10,普通住宅,暂无数据,共有,"
                                有抵押 145万元
                              ",已上传房本照片,
31,沈阳,https://sy.lianjia.com/ershoufang/102105857440.html,5室2厅1厨4卫,中楼层 (共37层),332.35㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-08-01,商品房,2016-07-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
32,沈阳,https://sy.lianjia.com/ershoufang/102103373653.html,6室2厅1厨2卫,中楼层 (共18层),309.16㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2020-09-13,商品房,2017-07-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
33,沈阳,https://sy.lianjia.com/ershoufang/102105496782.html,3室1厅1厨2卫,高楼层 (共34层),109.44㎡,平层,83.6㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-04-27,商品房,2019-06-19,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
34,沈阳,https://sy.lianjia.com/ershoufang/102105574605.html,4室2厅1厨2卫,低楼层 (共33层),174.39㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-05-20,商品房,2015-06-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
35,沈阳,https://sy.lianjia.com/ershoufang/102104831324.html,4室2厅1厨2卫,高楼层 (共33层),170.11㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2021-09-03,商品房,2013-11-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
36,沈阳,https://sy.lianjia.com/ershoufang/102105842791.html,4室1厅1厨2卫,低楼层 (共33层),172.69㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-07-28,商品房,2017-06-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
37,沈阳,https://sy.lianjia.com/ershoufang/102103859074.html,4室4厅1厨2卫,高楼层 (共18层),323.61㎡,跃层,323.61㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2021-01-26,商品房,2015-08-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
